011601801,Apa alasan Nabi Khidir merosakkan perahu yang dimiliki oleh orang-orang miskin? ,"Kerana dia mengetahui bahawa ada seorang raja yang akan merampas setiap perahu yang elok secara paksa",Kerana dia bermaksud untuk mencuri peralatan dari perahu tersebut,Kerana dia bermaksud untuk menghukum orang-orang miskin yang memiliki perahu,Kerana dia ingin menguji kesabaran Nabi Musa
021601801,Apakah alasan Nabi Khidir membunuh seorang pemuda tersebut?,Kerana pemuda itu akan menyebabkan kedua ibu bapanya sesat,Kerana pemuda itu tidak taat kepada ibu bapanya,Kerana pemuda itu telah melakukan perbuatan zalim dan kufur,Kerana pemuda itu dijanjikan kebaikan yang lebih besar oleh Allah
031601801,Mengapakah Nabi Musa meminta penjelasan dari Nabi Khidir tentang tindakan-tindakannya?,Kerana baginda ingin belajar dari pengalaman Nabi Khidir,Kerana baginda ingin menguji kebijaksanaan Nabi Khidr,Kerana baginda tidak mempercayai Nabi Khidir,Kerana baginda ingin menunjukkan kelemahan Nabi Khidir
041601801,Di manakah Dzulkarnain tiba ketika dia mencapai tempat matahari terbenam? ,Di tepi laut yang berlumpur hitam,Di sebuah sungai yang mengalir deras,Di tengah padang pasir yang luas,Di lereng gunung yang tinggi
051601801,Apakah permintaan Dzulkarnain kepada penduduk tempat tersebut setelah membangun dinding besi?,Membawa tembaga cair untuk dilapkan di atas dinding,Meniup dinding besi dengan alat tiupan,Membawa bahan bangunan lain untuk melengkapkan struktur dinding,Membawa peralatan untuk melindungi dinding daripada cuaca
061601801,Apakah bahan utama yang digunakan oleh Dzulkarnain untuk membina tembok yang melindungi penduduk dari Ya'juj dan Ma'juj?,Besi,Tembaga,Batu bata,Kayu
071601801,Apakah yang dapat dipelajari tentang konsep kepemimpinan yang terkandung dalam kisah Dzulkarnain?,"Kepemimpinan sebagai keterbukaan terhadap bantuan dan kerjasama dengan masyarakat untuk mencapai tujuan yang baik","Kepemimpinan sebagai pihak atasan yang tidak memerlukan bantuan atau kerjasama dengan masyarakat","Kepemimpinan sebagai kewajiban untuk memerintah dan menghukum tanpa memberikan pilihan kepada subjek","Kepemimpinan sebagai pengawalan secara keseluruhan terhadap subjek tanpa memberikan alternatif bagi keputusan"
081601801,"""Katakanlah (wahai Muhamma: 'Mahukah Kami khabarkan kepada kamu akan orang-orang yang paling rugi amal-amal perbuatannya?'"" Siapakah yang dijelaskan sebagai ""orang-orang yang paling rugi dalam amalan-amalan mereka""?",Orang-orang yang bersusah payah dalam kehidupan dunia dan melakukan ibadah syirik dan bidaah,Orang-orang yang tidak melakukan amalan ibadah,Orang-orang yang beriman kepada Allah dengan ikhlas,Orang-orang yang mengabaikan kehidupan dunia
091601801,Apa yang Allah nyatakan sebagai hasil dari perbuatan orang-orang kafir?,Mereka akan mendapat azab yang pedih,Mereka akan mendapatkan pahala yang besar,Mereka akan mendapat petunjuk yang jelas,Mereka akan hidup dalam kebahagiaan kekal
101601801,Apa yang dikatakan oleh orang-orang kafir tentang Nabi Muhammad SAW?,Mereka meragukan kerasulannya,Mereka menganggapnya sebagai gurauan,Mereka menghormatinya sebagai rasul Allah,Mereka memuja dan menyembahnya
011601901,Apakah tema utama Surah Maryam?,Rahmat dan keajaiban Allah,Kisah Nabi Musa (as),Sejarah Kota Mekah,Perang Badar
021601901,"Siapakah yang diceritakan dalam Surah Maryam sebagai seorang yang menerima khabar gembira bahawa dia akan memperoleh seorang anak, walaupun dia dalam keadaan tua?",Nabi Zakaria (AS),Nabi Ibrahim (AS),Nabi Musa (AS),Nabi Isa (AS)
031601901,Siapakah nama anak kepada Nabi Zakaria?,Yahya,Musa,Isa,Ibrahim
041601901,Mengapakah Nabi Zakaria as memohon doa untuk mendapatkan anak lelaki?,"Kerana baginda bimbang tentang siapa yang akan meneruskan tugas-tugas ugama selepas kewafatan baginda",Kerana baginda ingin memiliki waris yang akan mewarisi harta benda daripadanya,Kerana isterinya ingin memiliki seorang anak untuk menemani mereka di hari tua,Kerana baginda merasa tidak lengkap sebagai seorang Nabi tanpa memiliki anak
051601901,Apa tanda yang diminta oleh Nabi Zakaria daripada Allah untuk menunjukkan bahawa isterinya akan mengandung?,Nabi Zakaria tidak akan dapat berkata-kata dengan orang ramai selama tiga malam,Nabi Zakaria akan diminta untuk melakukan puasa selama tiga hari berturut-turut,Nabi Zakaria akan diminta untuk melakukan ibadah haji dalam masa yang singkat,Nabi Zakaria akan diminta untuk memberi sedekah kepada orang miskin yang memerlukan
061601901,Mengapa Maryam mengasingkan diri ketika mengandungkan Nabi Isa as?,Kerana beliau tidak mahu mencemarkan nama baik agama dan keluarganya,Kerana beliau berasa malu,Kerana beliau tidak mahu menghadapi proses kelahiran anaknya,Kerana beliau tidak mahu berjumpa dengan malaikat Jibril
071601901,Apa yang dikatakan oleh Nabi Isa ketika kaumnya meminta dia berbicara sebagai seorang bayi?,Bahawa Nabi Isa adalah hamba Allah dan seorang Nabi,Bahawa Nabi Isa adalah anak Maryam,Bahawa Nabi Isa akan membuktikan kesuciannya,Bahawa Nabi Isa akan menghancurkan tuduhan mereka
081601901,Apakah kitab yang diberikan dengan Nabi Isa oleh Allah SWT?,Injil,Taurat,Zabur,Quran
091601901,Apa yang dikatakan oleh Nabi Ibrahim as kepada ayahnya tentang berhala yang disembah oleh nya?,Berhala itu tidak akan memberi manfaat,Berhala itu dapat mendengar dan melihat,Berhala itu adalah ciptaan manusia,Berhala itu adalah perantara kepada Allah
101601901,Apa pengajaran utama yang boleh dipelajari dari kisah Nabi Ibrahim dalam Surah Maryam?,Pentingnya menghormati dan memuliakan orang tua,Keberanian dan ketabahan dalam menghadapi tantangan,Kepentingan menyelamatkan diri dari azab Allah,Keberhasilan Nabi Ibrahim dalam dakwah kepada kaumnya
011602001,"Apakah peristiwa yang pertama kali dialami oleh Nabi Musa as ketika dia berada di lembah yang suci, Thuwa?",Baginda melihat api yang menyala-nyala,Baginda diberi wahyu oleh Allah,Baginda diperintahkan untuk melepas kedua terompahnya,Baginda mendengar seruan dari tempat api tersebut
021602001,Apa yang ingin dibawa Nabi Musa as kepada ahli keluarganya ketika baginda melihat api?,Sebuah cucuhan daripada api,Sebatang kayu untuk membakar api,Makanan untuk makanan malam,Air untuk memadamkan api
031602001,Apa yang Allah tanyakan kepada Nabi Musa sebelum peristiwa Nabi Musa melemparkan tongkatnya?, Allah bertanya tentang apakah yang di tangan kanan Nabi Musa,Allah bertanya tentang apakah yang sedang dilakukan Nabi Musa,Allah bertanya tentang apakah yang ada di dalam hati Nabi Musa,Allah bertanya tentang keinginan Nabi Musa
041602001,Apakah yang berlaku setelah Nabi Musa melemparkan tongkatnya ke tanah?,Tongkatnya berubah menjadi ular yang hidup,Tongkatnya berubah menjadi batu,Tongkatnya berubah menjadi bunga-bungaan,Tongkatnya berubah menjadi air
051602001,Apakah kesimpulan yang dapat dipelajari dari kisah tongkat Nabi Musa?,Allah memberikan mukjizat kepada Nabi Musa untuk menunjukkan kekuasaanNya,Nabi Musa adalah seorang penggembala yang bijaksana,Nabi Musa sangat mahir dalam mengendalikan tongkat,Tongkat Nabi Musa adalah alat yang biasa digunakan dalam kehidupan sehari-hari
061602001,Siapakah Nabi Harun?,Saudara Nabi Musa,Saudara Nabi Ibrahim,Saudara Nabi Isa,Saudara Nabi Yusuf
071602001,Apakah tugas Nabi Harun yang dinyatakan dalam surah Taha?,Menjadi pembantu Nabi Musa dalam dakwah kepada Firaun,Menjadi penasihat politik bagi Nabi Musa,Menjadi pemimpin Bani Israil setelah kematian Nabi Musa,Menjadi juru bicara Nabi Musa dalam perundingan dengan Firaun sahaja
